#Glxy_N  M_V_nuc         L_X    Class
I0239	-9.60363865	38.15	4
I0356	-9.07867908	0.000	4
I0520	-15.483573	0.000	3
N0147	-6.04310417	0.000	2
N0205	-9.79722023	35.77	2
N0221	-12.1692028	35.53	2
N0266	-14.3603786	40.86	3
N0278	-10.8224554	38.05	4
N0404	-12.0610094	37.31	3
N0959	-10.3800009	38.04	4
N1058	-12.53		38.35	3
N1161	-17.5452328	40.0	3
N1275	-17.7670708	42.37	3
N2273	-15.3718433	40.9	1
N2342	-16.54		0.000	4
N2500	-11.2108854	38.43	4
N2549	-14.7014732	39.52	2
N2634	-14.2256966	39.61	2
N2655	-17.2770519	0.000	3
N2681	-15.2		39.22	3
N2685	-12.7093878	0.000	3
N2748	-10.3635159	38.41	4
N2768	-13.8408689	39.83	3
N2782	-15.0528069	40.79	4
N2787	-12.62		39.44	3
N2859	-11.89		0.000	3
N2903	-11.9759722	38.68	4
N2950	-15.0058346	39.26	2
N2985	-13.1979189	39.81	3
N3073	-9.7301		38.42	4
N3077	-8.66450596	37.63	4
N3079	-14.38		40.1	3
N3185	-13.98		39.93	1
N3190	-8.82157803	40.26	3
N3193	-14.3962679	39.58	3
N3198	-12.9823065	38.66	4
N3245	-13.4953346	39.72	4
N3319	-12.8456039	39.32	3
N3344	-13.1850681	38.47	4
N3414	-13.2774477	40.62	3
N3486	-13.7846098	37.5	1
N3504	-15.36		0.000	4
N3516	-16.7982788	42.53	1
N3610	-15.6775923	39.57	2
N3631	-13.2414083	39.46	4
N3718	-13.013032	41.26	3
N3729	-12.8910456	39.81	4
N3756	-12.7915897	38.47	4
N3884	-16.734787	42.09	3
N3898	-14.7077456	39.39	3
N3949	-13.491477	39.05	4
N3982	-14.55		39.23	1
N3992	-10.8666124	38.98	3
N3998	-14.1600007	41.96	3
N4026	-15.8021069	38.91	3
N4036	-15.2247114	40.38	3
N4041	-13.5383139	39.4	4
N4062	-13.4793911	38.0	4
N4125	-14.3913889	39.52	3
N4143	-13.8154402	40.25	3
N4150	-13.3103836	37.78	3
N4151	-17.6166115	42.39	1
N4203	-12.75		40.46	3
N4220	-13.0762663	39.2	3
N4245	-12.8050913	38.0	4
N4258	-14.0		40.68	1
N4274	-12.0558405	40.14	3
N4278	-11.57		39.74	3
N4314	-13.1948652	38.37	3
N4414	-10.9758282	38.66	3
N4449	-13.2066145	36.85	4
N4559	-14.25		39.03	4
N4565	-9.85591316	39.72	1
N4648	-11.0416565	38.97	2
N4656	-10.8807595	0.000	4
N4736	-15.330018	39.5	3
N4750	-14.0245256	40.41	3
N4800	-12.370842	38.82	4
N4826	-14.9644833	38.08	3
N5005	-14.215888	39.15	3
N5033	-14.3087587	38.64	3
N5055	-15.8		39.45	3
N5112	-11.1537142	0.000	4
N5377	-16.4800004	39.59	3
N5457	-9.95512867	39.72	4
N5474	-8.95		38.58	4
N5548	-19.0632324	43.21	1
N5585	-10.96		36.18	4
N5879	-11.540679	38.52	3
N5985	-14.4907904	41.52	3
N6207	-9.86384678	0.000	4
N6217	-15.3690205	0.000	4
N6340	-14.0167074	0.000	3
N6412	-11.2515841	0.000	4
N6503	-10.5653906	38.12	3
N6946	-14.64		39.18	4
N6951	-14.3403727	0.000	3
N7217	-14.15		0.000	3
N7331	-12.3		39.78	3
N7457	-11.7194738	38.34	2



Notes:
-Glxy_N: galaxy name


- M_V_nuc: V-band (vega) luminosity of the nuclei
To convert mag to Lv [erg/s] use this equation (in Python)

Lv= 4.4*(10**32)* (10**( 0.4*(4.81-Mv) ))

-L_X : X-ray luminosity [erg/s]
For L_X, value of 0.000 means data not available for the galaxy.


- Class: optical spectral class


