|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  0.3580|          |      8.664|  45.525|       -1.253|            |ndRI       |
|  0.3603|    1.2505|      8.197|  45.161|       -1.151|      0.7989|dRI        |
|  0.3613|          |      7.284|  43.965|       -1.433|            |NC         |
|  0.3651|          |      7.639|  43.234|       -2.519|            |NC         |
|  0.3668|          |      7.269|  44.603|       -0.780|            |NC         |
|  0.3675|          |      7.146|  45.067|       -0.193|            |NC         |
|  0.3683|          |      8.656|  44.928|       -1.842|            |NC         |
|  0.3684|    3.0349|      7.941|  45.763|       -0.292|      1.9446|NC         |
|  0.3690|          |      8.524|  42.205|       -4.433|            |NC         |
|  0.3692|          |      7.460|  44.921|       -0.654|            |ndRI       |
|  0.3709|          |      7.891|  45.672|       -0.333|            |ndRI       |
|  0.3721|    2.6900|      6.054|  44.386|        0.218|      1.7258|RL         |
|  0.3722|          |      8.390|  45.362|       -1.141|            |NC         |
|  0.3726|          |      8.126|  45.544|       -0.696|            |ndRI       |
|  0.3766|          |      8.555|  46.073|       -0.596|            |ndRI       |
|  0.3783|    1.3000|      8.432|  43.099|       -3.447|      0.8359|RL         |
|  0.3859|          |      8.917|  45.448|       -1.582|            |ndRI       |
|  0.3871|          |      7.123|  45.009|       -0.228|            |NC         |
|  0.3879|          |      7.885|  44.971|       -1.028|            |NC         |
|  0.3903|          |      7.448|  44.324|       -1.238|            |NC         |
|  0.3919|          |      8.007|  45.198|       -0.923|            |ndRI       |
|  0.3959|          |      7.452|  44.089|       -1.477|            |NC         |
|  0.3980|          |      8.387|  45.491|       -1.009|            |NC         |
|  0.3993|    2.1118|      8.493|  45.838|       -0.769|      1.3683|dRI        |
|  0.4009|    1.1242|      7.726|  45.206|       -0.634|      0.7288|NC         |
|  0.4018|          |      7.165|  43.643|       -1.636|            |           |
|  0.4089|    1.2641|      8.412|  44.916|       -1.609|      0.8218|RL         |
|  0.4099|          |      8.136|  44.637|       -1.614|            |NC         |
|  0.4124|          |      8.456|  45.089|       -1.481|            |ndRI       |
|  0.4176|    1.0700|      6.557|  44.215|       -0.455|      0.6978|RL         |
|  0.4189|          |      7.604|  45.711|       -0.007|            |NC         |
|  0.4202|          |      8.073|  44.902|       -1.284|            |NC         |
|  0.4240|          |      8.226|  43.758|       -2.582|            |ndRI       |
|  0.4269|          |      8.325|  45.324|       -1.114|            |NC         |
|  0.4402|          |      8.005|  45.083|       -1.035|            |ndRI       |
|  0.4435|          |      8.643|  45.810|       -0.947|            |ndRI       |
|  0.4460|          |      8.097|  45.066|       -1.144|            |           |
