#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2024-06-19T10:09:25 [V7.33.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-19T10:09:25	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-order=I&-out.src=J/ApJS/194/45/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJS/194/45/catalog&-out=z&-out=logLbol&-out=FIRST&-out=F6cm&-out=logL5100&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21940045
#Name: J/ApJS/194/45
#Title: QSO properties from SDSS-DR7 (Shen+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/apjs/194/45	    IVOID of underlying data collection
#INFO	creator=Shen Y.	    First author or institution
#INFO	cites=bibcode:2011ApJS..194...45S	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/194/45	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21940045	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_194_45_catalog:
#Name: J/ApJS/194/45/catalog
#Title: Catalog of quasar properties from SDSS DR7
#Column	z	(F9.6)	SDSS-DR7 redshift (Cat. VII/260)	[ucd=src.redshift]
#Column	logLbol	(F6.3)	? Bolometric luminosity (2)	[ucd=phys.luminosity]
#Column	FIRST	(I2)	[-1/2] FIRST (Cat. VIII/90) radio flag (4)	[ucd=meta.note]
#Column	F6cm	(E10.3)	? Observed radio flux density at rest-frame 6cm	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	logL5100	(F6.3)	? Monochromatic luminosity at 5100{AA}	[ucd=phys.luminosity]
z|logLbol|FIRST|F6cm|logL5100
 |[10-7W]| |mJy|[10-7W]
---------|------|--|----------|------
 0.574900|45.265| 0|          |44.299
 1.231100|45.704| 0|          |
 2.167900|46.241| 0|          |
 0.998000|46.059| 0|          |
 0.948300|45.058| 0|          |
 1.642500|46.333|-1|          |
 1.027000|45.871| 1| 6.727e+01|
 0.443300|45.595| 0|          |
 0.598000|45.661| 0|          |44.694
 1.612200|46.219| 0|          |
 1.096300|46.147| 0|          |
 1.259000|46.200| 0|          |
 1.546200|45.763| 0|          |
 1.007100|45.886| 0|          |
 2.697200|46.714|-1|          |
 1.417400|46.116| 0|          |
 1.013300|46.000|-1|          |
 0.516900|45.502|-1|          |44.536
 2.235900|46.456| 0|          |
 1.643300|46.069| 0|          |
 2.025200|46.305| 0|          |
 0.745100|45.884| 0|          |44.872
 1.329500|45.985| 0|          |
 0.421100|45.380| 0|          |44.413
 0.671200|45.364| 1| 1.036e+02|44.398
 2.112700|46.948| 0|          |
 2.079700|46.173|-1|          |
 2.784100|46.956| 0|          |
 1.480600|46.131| 0|          |
 2.065600|46.309|-1|          |
 0.715700|45.993| 0|          |45.052
 1.662400|45.849| 0|          |
 1.839000|46.496| 0|          |
 1.465500|45.966| 0|          |
 2.074700|46.838| 0|          |
 1.015600|45.967|-1|          |
 1.381200|45.924| 0|          |
 0.938700|46.032| 0|          |
 1.296300|45.830|-1|          |
 1.191500|45.762|-1|          |
 1.317100|46.299|-1|          |
 1.356900|46.317| 0|          |
 3.454200|46.775| 0|          |
 0.785300|45.662| 0|          |44.882
 1.616600|46.332|-1|          |
 1.338800|45.825| 0|          |
 1.423100|46.361|-1|          |
 1.781400|46.550| 0|          |
 1.079500|46.369| 0|          |
 2.245800|46.356| 0|          |
 1.084300|45.759| 0|          |
 1.593700|46.599|-1|          |
 0.815500|45.041|-1|          |44.523
 1.507000|46.198| 0|          |
 0.520000|45.760|-1|          |44.793
 1.735400|46.050|-1|          |
 0.463400|45.596| 0|          |44.629
 1.937900|46.462| 0|          |
 0.648500|45.411| 0|          |44.444
 0.741200|45.508| 0|          |44.672
 1.801600|46.092|-1|          |
 1.147900|45.944|-1|          |
 1.896400|46.223|-1|          |
 2.661600|46.285| 0|          |
 2.255500|46.462| 0|          |
 1.590600|46.306|-1|          |
 1.469500|46.498| 0|          |
 0.906600|46.283| 0|          |
 2.383100|46.824|-1|          |
 1.357000|46.221|-1|          |
 1.896800|46.263| 0|          |
 1.958700|46.490|-1|          |
 2.288700|46.425|-1|          |
 1.565200|46.022| 0|          |
 0.574000|45.140| 0|          |44.173
 0.999900|45.596| 0|          |
 2.518200|46.399| 0|          |
 1.441200|45.637| 0|          |
 2.008600|46.463| 0|          |
 2.371900|46.775| 0|          |
 1.286900|46.054| 0|          |
 1.556000|45.861|-1|          |
 2.115400|46.483|-1|          |
 0.388300|45.292| 1| 1.463e+00|44.326
 1.049400|46.124| 0|          |
 1.729900|45.800| 0|          |
 1.329000|46.311| 0|          |
 1.678200|46.107| 0|          |
 1.552500|46.361|-1|          |
 1.742000|46.666| 0|          |
 1.907200|46.131| 0|          |
 3.008300|46.756| 0|          |
 1.746700|45.935|-1|          |
 2.176100|47.159|-1|          |
 2.050700|46.699|-1|          |
 2.532000|46.724| 0|          |
 1.560100|46.556| 0|          |
 0.424300|45.506| 0|          |44.540
 1.486100|46.375| 0|          |
 2.731700|47.146| 0|          |
 2.501500|46.779|-1|          |
 1.716200|46.980| 0|          |
 2.079800|46.123| 0|          |
 2.399000|46.355| 0|          |
 1.655600|46.218|-1|          |
 2.472400|47.024| 0|          |
 1.023900|45.672| 0|          |
 1.519900|46.028|-1|          |
 1.076900|46.407| 0|          |
 0.990600|46.137|-1|          |
 1.940100|46.289| 0|          |
 0.787500|45.614| 0|          |44.652
 1.215900|46.463| 0|          |
 0.494000|45.303| 0|          |44.336
 1.119000|46.289|-1|          |
 1.207100|45.519| 0|          |
 1.892100|46.001| 0|          |
 1.291800|46.205| 0|          |
 1.496100|46.739| 0|          |
 1.607500|46.101| 0|          |
 2.451200|46.383| 0|          |
 1.005600|45.869|-1|          |
 1.680000|46.436| 0|          |
 1.815100|46.719| 0|          |
 1.441800|46.634| 0|          |
 1.952600|46.832| 0|          |
 2.566000|47.022| 0|          |
 1.207900|46.360| 1| 2.026e+00|
 1.068300|46.208|-1|          |
 2.219800|46.942|-1|          |
 1.102700|46.201| 0|          |
 0.620200|45.311| 0|          |44.345
 2.744400|46.997| 0|          |
 1.802400|46.998| 0|          |
 3.211100|47.056| 0|          |
 1.291500|46.272| 0|          |
 2.558600|46.664| 0|          |
 1.407900|46.144| 0|          |
 1.724300|46.492|-1|          |
 1.445800|46.307| 0|          |
 0.977100|45.626| 2| 6.105e+00|
 2.114000|45.951| 0|          |
 1.363000|46.093|-1|          |
 2.498500|46.800| 0|          |
 1.012800|45.708| 0|          |
 0.349900|45.503|-1|          |44.536
 1.744800|46.120| 0|          |
 0.569200|45.405| 0|          |44.438
 1.422400|46.214|-1|          |
