Galaxy		logLum2–10keV
NGC224		36.73
NGC266		40.68
NGC278		37.42
NGC315		41.77
NGC404		36.84
NGC410		41.00
NGC507		39.63
NGC598		35.44
NGC891		38.85
NGC925		37.98
NGC1023		38.79
NGC1058		37.47
NGC1161		39.79
NGC1167		40.12
NGC1275		42.34
IC342		38.12
NGC1961		40.27
NGC2146		40.37
NGC2273		40.89
NGC2276		38.78
NGC2300		38.65
NGC2403		38.34
NGC2500		38.10
NGC2541		37.87
NGC2549		39.43
NGC2639		39.72
NGC2683		39.38
NGC2681		38.84
NGC2768		39.73
NGC2776		38.23
NGC2748		38.18
NGC2782		40.69
NGC2787		39.20
NGC2832		41.06
NGC2841		38.94
NGC2903		38.40
NGC2950		38.44
NGC2976		35.61
NGC2985		39.48
NGC3031		39.15
NGC3034		39.10
NGC3079		40.05
NGC3077		37.58
NGC3147		41.92
NGC3185		39.89
NGC3190		40.07
NGC3184		38.27
NGC3193		38.76
NGC3198		38.58
NGC3245		39.45
NGC3310		40.06
NGC3319		39.16
NGC3344		38.19
NGC3395		39.21
NGC3414		40.48
NGC3448		39.87
NGC3516		42.49
NGC3556		39.18
NGC3583		39.38
NGC3600		39.14
NGC3610		38.69
NGC3631		39.21
NGC3642		39.32
NGC3665		39.89
NGC3690		40.91
NGC3718		41.22
NGC3729		39.69
NGC3838		38.41
NGC3877		37.12
NGC3884		41.92
NGC3898		38.93
NGC3938		37.30
NGC3945		39.80
NGC3953		38.04
NGC3963		40.16
NGC3982		38.07
NGC3992		38.84
NGC3998		41.82
NGC4013		38.80
NGC4026		38.54
NGC4036		40.21
NGC4041		39.03
NGC4051		41.68
NGC4088		39.29
NGC4096		37.93
NGC4102		40.78
NGC4111		39.68
NGC4125		39.06
NGC4136		37.60
NGC4138		41.20
NGC4143		39.99
NGC4151		42.39
NGC4157		39.40
NGC4203		40.33
NGC4217		38.57
NGC4220		39.16
NGC4258		40.68
NGC4278		39.37
NGC4291		39.42
NGC4314		37.82
NGC4346		38.40
NGC4395		39.90
NGC4414		38.41
NGC4449		36.07
NGC4485		36.28
NGC4490		39.66
NGC4494		39.05
NGC4559		38.97
NGC4565		39.61
NGC4589		39.25
NGC4605		37.40
NGC4648		38.28
NGC4750		40.21
NGC4725		38.07
NGC4736		39.32
NGC4800		38.49
NGC4826		37.08
NGC5005		38.58
NGC5033		38.08
NGC5055		38.77
NGC5194		38.92
NGC5195		38.07
NGC5273		40.93
NGC5308		41.42
NGC5322		39.18
NGC5354		38.81
NGC5353		38.56
NGC5371		39.45
NGC5377		39.51
NGC5395		39.50
NGC5448		38.48
NGC5457		38.28
NGC5473		39.59
NGC5474		37.70
NGC5485		39.63
NGC5548		43.14
NGC5631		38.80
NGC5676		38.85
NGC5866		39.26
NGC5879		37.64
NGC5905		39.78
NGC5907		39.57
NGC5982		39.51
NGC5985		41.45
NGC6015		38.77
NGC6503		37.72
NGC6482		40.71
NGC6643		39.84
NGC7331		39.67
NGC7640		39.59
